content_id,article_date,Title,Tags,Content
0,2022-02-02,Clujul aerist! Cum ar fi fost să nu se toarne atâta beton? - Galerie FOTO,floresti    manastur    parking    constructie    calea floresti    turnuri    aer liber    piata mihai viteazu    cuza voda    mihai viteazu    radu vlas    strada cuza vodă    zona centrală,"Clujul a fost un oraș aerist, dar toată dezvoltarea numa pe zona centrală a distrus totul. Mulți cred că distrugerea a început după anii 2000, dar nu este așa.”Imagine cu Piața Mihai Viteazu, de când nu s-au turnat încă betoane peste tot.Piața Mihai Viteazu a fost în trecut un loc aerisit, în care nu se turnaseră betoane peste tot. Într-o imagine din anii 70, se pot vedea tarabele din Piața Mihai Viteazu, dar în jur apar străzi largi și spații verzi.Hala din piață a apărut în anii 80, fiind o construcție care nici măcar astăzi nu își demonstrează utilitatea. Piața în aer liber a fost apoi ocupată cu un parking, ridicat de omul de afaceri Radu Vlas, care a reușit între timp să mai ridice un ”monstru”, blocul turn din Mănăștur, de pe Calea Florești. Agricultorii au fost mutați în interior, dar acum plătesc chirie omului de afaceri.De asemenea, pe strada Cuza Vodă se pot vedea spații verzi, dar după Revoluție pe acel loc a fost înghesuită o clădire urâtă și cu o formă nefirească”, nota un istoric clujean.Acum lângă Hală este un parking, piața veche a dispărut, iar mai jos sunt turnuri de 10 - 12 etaje, care sufocă zona."
2,2015-06-08,Party pe plaja din Grigorescu! Petrecerea tinerilor va dura o zi și o noapte,cluj    cluj-napoca    martie    iunie    grigorescu    15 martie    plaja    scena    aer liber    muzica traditionala    petrecere    jazz    party    noa    v,"Evenimentul ”Clujul nu doarme” din acest an va fi completat cu o petrecere pe plaja din Grigorescu, pe malul Someșului.”Proiectul strategic al Capitalei Europene a Tineretului, Day 15, are ca miză reactivarea spațiului public, prin puterea exemplului. Malul Someșului a fost integrat în seria Day 15 de la bun început și ne bucurăm că am ajuns la momentul în care să facem acest anunț: în luna iunie, echipa Cluj 2015 va reamenaja plaja Grigorescu pentru evenimentul Day 15 iunie: Beach Party!Sâmbătă, 20 iunie, Clujul nu doarme iar de la 10 dimineața până la 10 seara, clujenii se vor putea bucura de o petrecere în aer liber, relaxantă, dar cu multă energie și voie bună, într-un spațiu care merită mai multă atenție și implicare din partea noastră, a comunității clujene - plaja Grigorescu”, anunță Diana Apan, purtătorul de cuvânt Cluj-Napoca 2015 Capitala Europeană a Tineretului.Echipa Day 15 dorește, prin proiectele pregătite lună de lună în anul Capitalei Europene a Tineretului, să arate că spațiul public poate să devină mult mai plăcut și util prin implicarea comunității. Astfel, în cadrul Day 15 martie au fost semnalizate 8 zone din oraș care pot fi transformate și reutilizate, majoritatea fiind pur și simplu locuri ”uitate” în drumul nostru zilnic.”Dorim ca această petrecere să fie un punct de pornire, un semnal spre comunitate și nu numai, de a contribui cu toții mai mult la locurile care ne înconjoară, pentru a ne putea bucura împreună de ele.Locația ce va fi amenajată cu ocazia ediției de iunie Day 15 cuprinde atât o zonă de nisip, cât și un spațiu verde. Beach Party se va desfășura pe o suprafață de peste 4.500 de metri pătrați.Ediția lunii iunie a proiectului Day 15 va fi realizată în cadrul evenimentului Cluj Never Sleeps, ambele fiind proiecte strategice în cadrul programului Capitalei Europene a Tineretului. Cu alte cuvinte, pe 20 iunie 2015, de dimineață ne vom începe ziua pe plajă, iar seara, până a doua ziua dimineață ne vom continua programul cu activități culturale non-stop.De la ora 10:00, pe plaja Grigorescu clujenii vor fi așteptați cu muzică și o sumedenie de activități în aer liber. Cei care vor alege să-și petreacă ziua alături de echipa Cluj 2015, vor putea participa la competiții sportive sau chiar să încerce o serie de sporturi extreme, vor putea viziona filme, vor avea parte de o serie de spectacole surpriză, activități de relaxare și bineînțeles, concerte”, a mai spus Diana Apan.Line-up day 15 iunieInvitații speciali care vor concerta la Beach Party sunt tinerii de la Szep Andras Trio, care ne vor pune în mișcare pe ritmuri de jazz și Elena Mîndru care va aduce pe scenă ultimul său proiect - Elena Mîndru Finnection. În acest proiect artista îmbină muzica tradițională românească cu jazz-ul, acompaniată de un cvartet acustic.Le Minion va fi DJ-ul nostru, care ne asigură că atmosfera nu va fi altfel decât energizantă! Suntem deosebit de curioși de toți acești artiști și sperăm că dacă nu i-ați mai ascultat până acum, să o faceți la Day 15 Beach Party - sâmbătă, 20 iunie!"
5,2022-02-02,Cum s-a construit Catedrala Mitropolitană din Piața Avram Iancu. A fost un proiect dificil pentru acei ani - FOTO cu șantierul,romania    cluj    stiridecluj.ro    www.stiridecluj.ro    constructie    functionari    cluj-napoca    guvernul    bucuresti    facebook    femeie    flori    sibiu    avram iancu    piata avram iancu    imagini    rosii    strada iuliu maniu    cuza voda    regele ferdinand    unirea    strada horea    iuliu maniu    rugaciune    episcopul nicolae ivan    gara cluj    nicolae ivan,"Catedrala Ortodoxă din Cluj a fost ridicată în perioada anilor 1920-1930, la puțin timp după unirea Transilvaniei cu România. Aceasta are o importanță națională foarte mare, fiind primul edificiu monumental în stil românesc construit după Marea Unire.Lucrările de construcție au început în data de 10 septembrie 1923, iar în data de 7 octombrie 1923 a fost pusă piatra de temelie a catedralei, urmând ca după 10 ani să fie încheiat procesul de ridicare.Lucrările efectuate au fost de o dificultate ridicată pentru nivelul acelor vremuri, vorbim aici despre construirea celor 4 turle care înconjoară turla centrală, sculptarea celor 18 coloane din interioarul turlei centrale și sculptarea medalioanelor din piatră. Pictarea edificiului a fost realizată de profesorii Anastasie Demian și Catul Bogdan, de la Academia de Artă, în perioada 1928-1933.Clujenii care au trăit perioada ceaușistă își amintesc cu drag de vechiul parc ce înconjura clădirea „In partea stanga a catedralei sunt castani cu flori rosii pe care ii admiram in fiecare primavara. Nu am vazut in alta parte acest soi de castani”, precizează o femeie pe grupul de Facebook „Amintiri din vechiul Cluj”, la una dintre fotografiile care surprinde începuturile Catedralei.Părerile clujenilor sunt însă împărțite când vine vorba de construcția colosală. Dacă unii își amintesc cu drag de vremurile în care catedrala era înconjurată de castani, alții retrăiesc momentele cu mai puțină nostalgie, de pildă un alt clujean spune ”când s-a construit catedrala pe acel loc era un frumos parc, care a fost distrus astfel, păcat că se strică lucruri faine”.Episcopul Nicolae Ivan când a ajuns la Cluj în 1921, de la Sibiu, cu o valiză și se spune că a locuit într-un vagon din Gara Cluj, până când consilierii au reușit să trateze cu statul pentru a obținut un loc de reședință, de pe strada Iuliu Maniu 36 - 37. ”La venirea sa la Cluj, consistoriul noii episcopii nu avea decât o masă, două scaune, un dulap, un maldăr de acte și doi modești funcționari, iar ca locaș de rugăciune, o smerită bisericuță ce înfățișa vitregia trecutului nostru românesc!”, se arată în documentele vremii.Episcopul Nicolae Ivan s-a luptat apoi și a obținut terenul din Piața Cuza Vodă, unde a început construcția Catedralei Ortodoxe. Concomitent cu ridicarea catedralei și ulterior, acesta a făcut nenumărate cereri la autoritățile din Cluj pentru a primi palatul în care funcționa Casa Pădurilor, dar nu a fost ascultat. Prea Sfinția Sa a apelat prin Alexandru Lapedatu, care a fost un om al bisericii, și care era ministru în Guvernul de atunci, direct la București, și cu ajutorul Patriarhiei, pentru a primi Casa Pădurilor în schimbul unei clădiri de pe Calea Regele Ferdinand, actuala stradă Horea. Această clădire nu valora cât impozantul palat din Piața Cuza Vodă, dar, prin postura și influența de care se bucura, Episcopul Nicolae Ivan a reușit să facă tranzacția, fără bani și pe vecie.  Acest lucru s-a întâmplat în 4 mai 1934.Istoria Palatului Arhiepiscopiei Ortodoxe a Clujului. A fost obținut de Episcopul Nicolae Ivan cu eforturi uriașe"
6,2022-03-07,"Sondaj - În caz de război, numai 26% din români ar sta să apere țara, restul ar fugi",romania    stiridecluj.ro    armata    www.stiridecluj.ro    antena 3    ucraina    arma    sondaj,"Doar 26% din români ar rămâne în țară ca să o apere în cazul unui conflict militar, se arată într-un sondaj realizat de Grupul de Studii Socio-Comportamentale Avangarde.Lla întrebarea ”Dacă România ar fi atacată ați rămâne în țară pentru a o apăra?”, au răspuns ”Da” 26% din cei intervievați. 48% din cei care au luat parte la sondaj au răspuns ”Nu”, 20% au spus că ”Nu pot aprecia”, iar 6% nu au răspuns la întrebarea de sondaj, conformAntena 3.Ce motive au invocat românii pentru a nu pune mâna pe armă:- neîncrederea în administrația din România- faptul că țara nu a făcut nimic pentru ei- teama că liderii politici nu se ridică la nivelul vremurilor pe care le trăim.Sondajul Avangarde a fost realizat în perioada 25-28 februarie 2022 prin metoda CATI; marja de eroare: 3,4%.În Ucraina, peste 140.000 de oameni s-au întors în ultima perioadă în țară pentru a se înrola.Cum poți scăpa de armată, chiar dacă ești chemat la război! Ce scrie în articolul 32 din Legea 446/2006"
7,2022-03-07,"Șofer cu Tesla, amendat în Cluj, când își încărca mașina: E abuz și e ilegal. O taxă mafiotă! Să dirijeze traficul, pentru că Clujul e India - VIDEO",boc    india    clujeni    abuz    cancer    strada emil isac    whatsapp,"Șoferul unui autoturism marca Tesla s-a trezit amendat de o polițistă locală, în timp ce era parcat pe strada Emil Isac, la standul de încărcare a mașinilor electrice. Acesta a spus că totul este un abuz și că polițiștii sunt analfabeți.Șoferul a stat 20 de minute la încărcare și s-a trezit cu amendă de minim 200 de lei. Acesta a spus că nicăieri nu este un panou care să anunțe că trebuie plătită parcarea pe durata încărcării mașinii.”Poate domnul Boc are ceva cu mine, dar eu vă dau bătaie. Eu sunt corect care plătesc taxele. Aici ați făcut un abuz foarte mare. Dragi clujeni, voi cu mașini electrice, trebuie să plătiți taxa mafioza a lui domnul Boc, pentru că așa este furare de bani. Amenda este între 200 și 400 de lei.Să nu îmi spună cineva că de ce vorbesc, pentru că eu îi apăr pe toți clujenii. Asta e un cancer și trebuie luptat împotrivă. Dacă nu aveam Tesla, atunci nu mă amendau.  Legea prin care amendează nu spune nimic despre mașinile electrice. Asta este furare de bani.În loc să dirijeze traficul, pentru că Clujul este în India cu traficul ei vin să te fure de bani. În loc să facă ceva în oraș, ei stau aici și ne fură banii. Îmi pare rău, e țară frumoasă dar condusă greșit”, a acuzat șoferul nemulțumit.Acesta a prezentat dovada că el a stat în locul de încărcare a mașinilor electrice 26 de minute.UPDATEAmenda a fost contestata azi la 12:30"
9,2022-03-12,"Visul deputatului clujean Viorel Băltăreţu, cât pe ce să devină realitate. Au fost montate indicatoare în alfabetul chirilic, dar nu la Cluj",cluj    stiridecluj.ro    sosea    www.stiridecluj.ro    bors    ungaria    facebook    oradea    bihor    satu mare    deputatul    drumuri    deputat    diferit    limba romana    drumuri nationale,"Autorităţile au montat indicatoare în limba ucraineană, pentru a-i ajuta pe refugiaţii care vor să ajungă Ungaria prin punctele de trecere a frontierei din Bihor. Cei mai mulţi dintre ucraineni laudă această iniţiativă, mai ales că alfabetul lor, cel chirilic, este total diferit faţă de al nostru şi le era foarte greu să se orienteze pe șosea.Reprezentanţii Serviciului Drumuri Naţionale Oradea s-au decis să le dea o mână de ajutorrefugiaţilor care vor să ajungă în Ungaria prin judeţul Bihor. Aşa că, cei care o apucă spre punctele de trecere a frontierei dinSăcueni şi Valea lui Mihai sunt îndrumaţi prin indicatoare în limba ucraineană.Ideea a fost deja lansată în mediul online acum o săptămână, când deputatul clujean Viorel Băltăreţul a publicat pe pagina sa de Facebook un video prin care îşi exprima doleanţele legate de amplasarea indicatoarelor rutiere în alfabetul chirilic pe şoselele principale ale judeţului Cluj.„Ca să evităm aglomeraţia sau eventualele accidente rutiere cauzate de oboseală, i-am direcţionat spre cele două puncte vamale, care nu erau aşa de aglomerate. Mare parte din traficul de la Borş, s-a mutat pe cele două puncte vamale mai mici"", a declarat directorul SDN Oradea, Traian Bulzan.Refugiații erau nevoiţi să ocolească punctul de trecere al frontierei Petea, din judeţul Satu Mare, care în ultima perioadă a fost extrem de aglomerat. Cozile de maşini se întindeau pe kilometri întregi.„Dacă este necesar, probabil vom mai suplimenta indicatoare în limba ucraineană”, a adăugat directorul SDN Oradea.Indicatoarele în limba ucraineană şi-au dovedit deja utilitatea pentru mulți dintre refugiaţii ucraineni. O mare parte dintre ei nu înţeleg nici limba română, nici pe cea maghiară, iar aceste indicatoare i-au ajutat enorm. Noile indicatoare nu doar că au redus traficul, dar au redus şi timpii de aşteptare la frontierele foarte tranzitate. De la 500 de minute, la nu mai mult de 70 de minute, conformObservator.ro."
10,2022-03-13,"VIDEO - Un motociclist, la un pas de moarte în Cluj",cluj    bolid    masina    facebook    panica    motociclist    motociclisti    atac    accident,"Un motociclist a fost la un pas de moarte din cauza unui șofer care a intrat într-o depășire neregulamentară.Un motociclist a evitat în ultimul moment un accident care îi putea pune viața în pericol. Motociclistul circula regulamentar pe un drup din județul Cluj, când de pe contrasens a intrat în depășire un bolid chiar la intrare într-o curbă periculoasă. Motociclistul a evitat impactul în ultimul moment fără ca șoferul bolidului să încetinească la vederea lui.Incidentul a fost surprins de o cameră montată pe bordul unei mașini care circula în spatele motocilcistului. Atât el cât și mașina din urma acestuia circulau regulamentar.Videoul a fost publicat pe pagina de Facebook a grupului ""Comunitatea Moto Cluj"". Alături de video, un membru al grupului a atras atenția asupra problemelor des întâlnite în trafic când vine vorba de motocicliști.""(Șoferul vinovat) A pus azi în pericol un membru al asociației Comunitatea Moto Cluj. Motociclistul a suferit un atac de panică, viața i-a fost pusă grav în pericol. El circula regulamentar, dar băieții de bani gata nu dau doi bani pe viața altora și își permit să depășească în curbă"", a spus membrul grupului de motocicliști."
11,2022-03-14,"Se prefigurează o nouă centură a Clujului, din Tureni spre centura ocolitoare Vâlcele - Apahida și Cluj-Napoca - FOTO",tise    centura    apahida    valcele    cluj    consiliul judetean    cluj-napoca    martie    tureni    alin tise    gheorgheni    modernizare    tva    dn 1    aiton    centura ocolitoare,"Consiliul Județean a publicat în S.E.A.P. anunțul aferent achiziției serviciilor de proiectare și asistență tehnică pentru realizarea documentațiilor necesare modernizării drumului județean 103G Varianta ocolitoare a municipiului Cluj-Napoca - Gheorgheni - Aiton - Ceanu Mic - Tureni (DN 1).Drumul județean vizat de lucrările de modernizare și reabilitare are o lungime de peste 25 de kilometri.Alin Tișe, președintele Consiliului Județean Cluj: „Sectorul de drum pe care îl vom moderniza și reabilita este extrem de important din perspectiva faptului că acesta deservește o zonă vastă a județului și mai multe localități aflate în proximitatea zonei metropolitane. De asemenea, DJ 103G reprezintă și o alternativă de ocolire a municipiului Cluj-Napoca, prin legătura pe care o face între DN 1 și centura ocolitoare Vâlcele - Apahida”.Data limită de depunere a ofertelor pentru adjudecarea acestui contract este 29 martie 2022, ora 15.00, criteriul de atribuire fiind „cel mai bun raport calitate-preț”.Valoarea estimată a contractului este de 2.025.000 de lei, fără TVA, finanțarea fiind asigurată din bugetul Consiliului Județean.Durata de elaborare a documentației tehnice este de 4 luni și 15 zile, termen care curge de la data semnării contractului.Când s-a pornit proiectul centurii Vâlcele - Apahida, în 2006, autoritățile au luat în calcul și acest traseu pentru a face centura, mai ales că acolo exista un drum, care trebuia numai modernizat. Această opțiune a fost abandonată atunci, dar acum revine în actualitate."
13,2022-03-13,Sindicaliștii din sănătate cer creșterea salariilor pentru a face față inflației,romania    armata    rata inflatiei    sporuri    covid-19    covid    sars-cov-2,"Federaţia „Solidaritatea Sanitară” din România solicită public Guvernului calculul tuturor salariilor de bază ale lucrătorilor din sănătate în funcţie de salariul minim.„În contextul inflaţiei galopante tot mai mulţi lucrători din sănătate alunecă în zona sărăciei salariale, veniturile salariale obţinute fiind insuficiente pentru a le asigura resursele necesare supravieţuirii. (Într-o astfel de situaţie se află chiar şi salariaţi care lucrează în condiţii de muncă periculoase sau deosebit de periculoase, desfăşurând totodată o bună parte a activităţii profesionale noaptea şi în zilele libere legale.) Situaţia este cu atât mai dramatică cu cât este vorba de profesioniştii deja epuizaţi de îndelungata luptă dusă deja pe frontul pandemiei, rapida scădere a puterii de cumpărare accentuându-le problemele şi scăzându-le capacitatea de desfăşurare a activităţilor profesionale”, se arată într-un comunicat al sindicaliştilor, conformAgerpres.În aceste condiţii, Federaţia „Solidaritatea Sanitară” solicită Guvernului României să adopte urgent trei măsuri: calculul salariilor de bază pentru toate categoriile de lucrători din sănătate prin raportarea coeficienţilor de ierarhizare prevăzuţi în Legea salarizării la salariul de bază minim brut pe ţară în plată (aplicarea prevederilor alin. 2 al art. 12 din Legea nr. 153/2017) începând cu luna aprilie 2022; creşterea salariului de bază minim brut pe ţară garantat în plată cel puţin la nivelul corespunzător actualizării lui cu rata inflaţiei şi raportarea tuturor categoriilor de sporuri la salariul de bază în plată.„Activarea mecanismului de raportare a tuturor salariilor de bază la salariul de bază minim brut pe ţară, prin intermediul coeficienţilor de ierarhizare, constituie cea mai bună soluţie în actualul context, ea permiţând atât rezolvarea unei bune părţi din problema inechităţilor salariale cât şi constituirea unui mecanism eficient de luptă împotriva scăderii accelerate a salariului real”, susţine organizaţia sindicală.FSS subliniază că „‘armata în alb’ pe care o reprezintă profesioniştii din sănătate se află de peste doi ani mobilizată în lupta împotriva pandemiei COVID-19”.„Această luptă nu s-a finalizat, ci se desfăşoară în continuare, atât pe ‘frontul’ pacienţilor infectaţi SARS-CoV-2, cât şi pe cel al patologiei post-COVID-19”, se mai spune în comunicat.De asemenea, atrag atenţia sindicatele, specialiştii din sistemul public de sănătate constituie o resursă importantă în eventualitatea (nedorită) a unui conflict militar, menţinerea capacităţii lor de intervenţie fiind vitală şi în contextul ameninţării cu războiul."
14,2012-04-19,"TEAPA cu locuri de munca in Italia se repeta! Asociatia Lavoro Stranieri, condusa de un clujean, insala romanii",romania    cluj    stiridecluj.ro    stiri de cluj    www.stiridecluj.ro    locuri de munca    italia    tiriac    service    amanata    plangeri    ancheta    office@stiridecluj.ro    it    andreea    banca    politie    ovidiu pop    pasti    western union    asociatia lavoro stranieri    actefinale@gmail.com    sever titus sfarlea    total service    titus sfârlea    v,"Un clujean stabilit in Italia, care a tepuit anul trecut sute de oameni printr-o firma, si-a facut acum Asociatia Lavoro Stranieri, prin care pacaleste oamenii.Asociatia Lavoro Stranieri a impanzit cu anunturi de angajare siturile de profilBestJobs.rosi Clujjob.ro. O cititoareStiri de Clujne-a povestit cum a trimis acte si a platit un comision de 23,50 euro catre asociatia din Italia, insa nu a primit contract de munca si este amanata la nesfarsit de reprezentantii Lavoro Stranieri. ""La inceput mi s-au parut seriosi, comisionul era mic si m-au asigurat ca o sa-mi trimita contractul de munca imediat dupa ce le trimit actele necesare pentru inscriere si comisionul. Mi-a spus la telefon un domn Ovidiu Pop din Italia ca a trimis contractul pe mail, dar nu mi-a ajuns nimic. Am asteptat pana dupa Pasti, caci am zis ca e sarbatoare, apoi am sunat iar. Nu mai raspundea. L-am pus pe fiul meu sa sune si i-a raspuns. A spus ca nu stie care este problema si ca sa trimit mail pe adresa actefinale@gmail.com"", a spus Elena.De pe adresaactefinale@gmail.coma venit un raspuns in care se preciza ca este o neintelegere si ca se verifica ce s-a intamplat. De atunci, femeia nu a mai primit niciun semn. ""Nu este vorba neaparat de suma de 23 euro, dar dau sperante la oameni in aceasta perioada grea, in care nu se gasesc locuri de munca. Sunt niste nerusinati!"", a spus pagubita.Comisionul de 23,50 euro, numit taxa de inscriere in asociatie, este trimis intr-un cont bancar de la Unicredit Tiriac ce apartine luiSever Titus Sfarlea, clujean care conduce asociatia cu adresa in localitatea italiana Lucca. Pe forumul de discutii de pe situlBestJobsau aparut mai multe plangeri ale pagubitilor. ""Nu va lasati inselati oameni buni.  S-au mai perfectionat vad au luat un model american acum e vorba de un proces bine ticluit cu actele mai sa te convinga. Iti fierbe sangele in vine nu alta ca uite domne pt o asa suma merita sa incerci ca doar ce sunt 50 ron, insa cu atatia inselati ei fac o suma frumusica. Ma repet  si spun ca nicaieri nu se trimit acte prin email in vederea intocmirii unui contract de munca si nicaieri nu trimiteti retineti!!!! bani via:cont bancar, western union sau orice alta modalitate. Sint viramente directe la persoana fizica,asta o faceti dvs.cind aveti de trimis bani la familie pentru ca stiti cui ii revin banii"", a spus Lucian.Un alt reclamant a dezvaluit ca Sever Titus Sfarlea a dat tepe si anul trecut, in primavara, prin firmaTotal Service. Despre aceasta firma, sunt sute de plangeri scrise in 2011 pe forumul de pe BestJobs. Atunci oamenii au fost pacaliti sa trimita o taxa de 10,50 euro.""Total Service, daca era o firma serioasa nu va punea sa ii trimiteti banii unui domn SFARLEA SEVER TITUS DUMITRU , ci va dadea un cont al firmei. Conform legislatiei in vigoare orice Societate Comerciala infiintata in Romania sau in strainatate este obligata sa aiba un cont deschis la o banca, dar asta stiu doar cei care sunt mai destepti decat cei care trimit bani unor indivizi care doar cu inselaciuni se ocupa"", a scris Andreea.Dupa ce un reclamant a amenintat reprezentantii Asociaiei Lavoro Stranieri ca merge la politie, acestia au scris cu tupeu: ""SA NE TRIMITETI UN NUMAR DE CONT UNDE SA VA RETURNAM COTA DE ASOCIATIE ACHITATA SI DESIGUR IN ACEST CAZ NU O SA MAI FIE NICI O INTELEGERE NICI CU NOI SI NICI CU ALTE 11 FIRME DE RECRUTATRE DIN ROMANIA"". Bineinteles ca pagubitul nu si-a primit banii. Intre timp, situlhttp://lavorostranieri.sitonline.it, care era bine pus la punct pentru a atrage oamenii, a intrat ""in actualizare"" si nu mai poate fi accesat.Cititorii care au fost pagubiti sunt rugati sa scrie pe adresa office@stiridecluj.ro pentru realizarea unei liste cu toti cei care au fost inselati si sesizarea organelor de ancheta."
