comment_id,reply_to_comment_id,comment_nr,content_id,comment_text,LABEL
0,,0,0,"Sufoca pe ma'ta, cu cratima cu tot",1
1,0,1,0,"@Birlic: bai Onan, tu esti dintre aia care zic ca oras = festivaluri, galagie, poluare, terase, masini si betoane, iar cui nu-i place sa se mute la tara? idei neroade de tefelist lobotomizat",1
2,,1,2,"Pune anunt pe Pomu l .ro - anunturi gratuite din Romania!Pomu l .ro va fi promovat la televiziune, radio si pe internet, asa ca adauga anuntul tau acum pentru a putea avea clienti reali!",0
3,,2,2,Droguri si alcool,0
4,3,3,2,si multa muita la bagaboande,1
5,,0,5,si uite asa si cu alte cladiri ati distrus bucata cu bucata orasul fain de 5 stele de pe malul somesului....,0
6,5,1,5,andi?...ești maghiar răutăcios!,1
7,5,2,5,"@andi: la cateva sute de ani dupa ce ungurii or distrus malurile Dunarii integral, la Buda si Pesta am reusit si noi sa ne trezim",0
8,,3,5,deci si pe vremea aia erau panselute g@y ca se distruge un petic de iarba.,3
9,,0,6,"În constituție scrie: "" cetățenii români au dreptul și obligația sa apere România în caz de război..."" . Pana aici toate bune deoarece pare logic sa-ti aperi tara deoarece acolo trăiești și pana la urma îți aperi casa, familia și bunurile. Totuși exista un aspect: foarte mulți proprietari din România nu sunt cetățeni romani și deci nu au obligatiii…militare! Și atunci ne vom afla în situația în care italieni, arabi, nemți, etc, vor sta la vatra și prostii vor lupta sa-i apere! Care este contribuția acestor proprietari străini în caz de razboi ? Cu ce ajuta ei? Trebuie regândit legea ținând seama de următorul aspect: ""toți cetățenii romani și toți cetățenii straini deținători de proprietăți în România au obligația sa apere România în caz de razboi!"" Cine nu vrea sa servească sub arme sa fie EXPROPRIAT!",0
10,,1,6,"Pașaportul îl fac pt copil sa îl pot trimite cu mama lui undeva dacă e cazul.Dacă nu, măcar mai mergem pana la Viena, Madrid, etc.Nu Săriți jegoșilor sa judecați",1
11,,2,6,"Sa mearga la razboi cei cu pensii speciale, cei 6000 de generali activi si rezervisti si copii politicienilor si functionarilor publici, ceilalti nu au pentru ce si pentru cine sa mearga la razboi!",0
12,11,3,6,"De ce rezervistii bai desteptule?!... Sa mearga aia care sunt mai odihniti cu 20 de ani mai mult ca mine, adica favorizatii statului: parlamentarii NEESENTIALI cu pensie speciala(!!!), politisti, jandarmi, sristi, militari si alte ""organe"" care ies la pensie la 40-45-47 de ani. Cu toate astea, se gasesc militari care au plimbat hartii toata viata lor…si n-au participat la nici o actiune, sa se planga de pensie@Cristi:",0
13,11,4,6,"Se pare ca habar n-ai ce inseamna rezervist, Cristi... fa armata si o sa stii!@Cristi:",0
14,,5,6,"Sa aparam ce???!!! Carrefour, ING , Reiffensen DM , padurile da te de jegul tradator austriecilor??!! CE?? Hidrocentralele inchise, firmele strainilor de distributie a energiei sau GAZELE DE LA MAREA NEAGRA pe care deja le au dat Ynakeilor degeaba Tara condusa de ciurucuri, cosi de topor si vinduti.",0
15,,6,6,Daca îmi dă armă pe mână....incep cu guvernul României,0
16,15,7,6,@NoName: Suntem mulți care vrem asta...,0
17,,8,6,"Nu fuge nimeni, sunt aprox 300 de mii in m a i, vre o 80 de mii in armata, au cu cine lupta, vine si Nato, nu se apuca nimeni sa instruiasca drogati, bombardieri, proxeneti, hoti cand ii razboi",0
18,,9,6,"Eu unu nu as merge la razboi pentru tara asta din multe motive- suntem platitori de taxe si nicidoata nu am beneficiat calumea de sistem ( am chemat o data o ambulanta am stat 3 ore dupa ea cand ma chinuiam sa rezist durerilor si dupa ce au venit mi se zice ca daca nu ii arat buletinul nu se uita la mine, si dupa ce l-am dat au zis ca trimit alta…ambulanta ca au treaba in alta parte, au venit doar sa ma sictireascca si mai rau si lista continua- nu avem infrastructura, suntem furati, mintiti de conducere, acum statul sare sa ajute ucrainienii si nu reprosez nimic legat de asta, dar pe noi cetatenii Romaniei nu ne ajuta, nu mai zic de cei in varsta, bolnavii, copii parasiti etc.- noi suntem trimisi in prima linie si fac pariu pe cat vreti voi ca cei bogati nu o sa se implice deloc in razboi, cel putin pana acum nu am vazut vreo stire ca vreo vedeta de la noi sa doneze cauzei Ucrainei- am avut nevoie de serviciile politiei cand a intrat peste mine in casa un tampit de taximetrist si mai sa ma injunghie iar ce a facut politia : a declarat ca am mintit in declaratia pe proprie raspundere in conditiile in care martorii au declarat acelasi lucru ca mine, iar omu a scapat basma curata ( la noi mori si vinovat nu iese niciodata nimeni, nici acum dupa atatia ani de la colectiv si alte evenimente mari sau mici )- fara penali in functii publice? Uite ca inca nu se aplica regula asta, Dragnea iar are partidul lui si altii ca el ( un om daca fura o paine sa isi hraneasca familie e bagat la parnaie, iar unu ca asta iese mai devreme din puscarie, nu se pune sechestru pe toata averea lui etc ) asta ca un exemplu- tatal meu fost militar care a fost prin alte razboaie a zis clar ca nu se merita sacrificiul si mai bine plec din tara, el dupa ce a servit tara 30 de ani are o pensie de rahat inca platitor de rate la casa etc.- daca merg pe front si prin minune scap, statul cu ce ma ajuta dupa razboi? Cu NIMICLupt ca sa fiu in continuare bataia de joc a tarii mele datorita conducerii ? Dar nu-i nimic, protestati pasnic in continuare la toate protestele si lasati-va calcati de jandarmi. Multi sunteti curajosi si ati merge la razboi, dar cum ar pica o bomba langa voi ati baga capul in pamant ca strutii, iar daca sunteti asa curajosi pe cat sunteti de ce nu s-a inceput o revolutie la noi in tara ?",0
19,,10,6,"Intotdeauna am fost o natie de lasi care fugeau din calea invadatorilor si otraveau fantanile. La ce va asteptati?!Si ca sa invcheiem cu un Braking News : DIN CAUZA ASTA SI A ASTORA E TARA ASTA ASA DE FHUTHUTA :)Toti cei care se plang, sunt si cei care nu fac nimic pozitiv, nu respecta legea, regulile de bun simt.La dreaq cu toti !",0
20,19,11,6,"@Romania nu e Ucraina !: Stai sa vezi cat de f.ututa va fi Ucraina dupa razboi. Ti-ar placea sa fie camp minat in Faget, sa nu te mai poti plimba in weekend nici acolo?",0
21,19,12,6,@Romania nu e Ucraina !: cei mai multi eroi sunt inainte si dupa razboi.,0
22,,13,6,"Sa mearga cei de la stat si aitistii, mai ales aitistii ca pe ei i-a favorizat statu in ultima vreme, fara impozite. Pe unu amarat cu 1500 de lei pe luna pt ce sa lupte? Hai futu-va-n gura sa va vad",1
23,22,14,6,"@ : stai linstit ca ""aitistii"" nu o sa mai fie favorizati multa vreme. A fost o decizie buna pt ca atractia salariilor mari a generat o multime de specialisti. Dar se umple oala si apoi se termina si beneficiile.Aitistii au spart o gramada de bani in piata locala, ceea ce a dezvoltat afacerile locale.",0
24,22,15,6,"@ : aproape toate companiile straine de ""aiti"" ofera posibilitate de mutare a angajatiilor in tarile lor. Daca salariul af fi mic majoritatea ar alege sa plece si salariile s-ar cheltui in acele tari.Ganditi putin inainte sa tot aruncati lozinca, incercati sa intelegeti ce genereaza anumite decizii.",0
25,,16,6,"Rezultatele sondajului evidențiază nivelul conștiinței civice și a lipsei de educație. Ma-ntreb de ce acei 48 la sută, nu pleacă din țară să se realizeze în altă parte unde câinii umbla cu covrigi in coadă și nu trebuie să muncești sau să lupți.",0
26,25,17,6,@Romi: Ce vorbești de constinta civica și educație asta am învățat de la politicieni și de la cei care ne conduc am luat exemplu ei ce au făcut pentru noi au umilit bătrâni și tinerii și copii și ie sau imbogatit,0
27,,18,6,"Parazitii din mapn , mai , serviciile lui peste prajit si toate categoriile de speciali si esentiali , astia sa lupte pentru tara asta de kkt care i a favorizat pe ei si i a defavorizat pe toti ceilalti . Oricum ei guita ca de aceea au drepturi la privilegii ca ocupatia lor le cere sa moara pentru patrie . Ok , muriti .",0
28,27,19,6,@andrii popa: corect!,0
29,,21,6,"inafara de locuintele noastre nu avem ce proteja, tara e vanduta pe bucati, sa vina strainii sa isi apare companiile.",0
30,29,22,6,"@ddd: vom ramane si fara alea in curand, ca e pace sau razboi",0
